Language,Form,Gloss,Gloss_Fixed,Source,Form_ID_v1.2
Nggela,tiŋ-i,"beat a gong, ring a bell (< <span class=""pwd"">*titiŋ-i</span>)","beat a gong, ring a bell (< _*titiŋ-i_)",,359-6b03334878aebee50f82d597a5394737-1
Malay,alur,"groove; cutting; furrow.  With many varying or local applications: (Johore) the main channel of a stream between the mudbanks on either side; (Pahang) any channel in river or sea, and even a dry torrent-bed if water flows there sometimes; (Kedah) hollow or backwater scooped out by a stream, the main channel being <span class=""wd"">geloŋ</span>; (Minangkabau) channel, e.g. of relationship, and even of a wife ""scooping"" money out of her husband; furrow, beaten path made by wild animals","groove; cutting; furrow. With many varying or local applications: (Johore) the main channel of a stream between the mudbanks on either side; (Pahang) any channel in river or sea, and even a dry torrent-bed if water flows there sometimes; (Kedah) hollow or backwater scooped out by a stream, the main channel being _geloŋ_; (Minangkabau) channel, e.g. of relationship, and even of a wife ""scooping"" money out of her husband; furrow, beaten path made by wild animals",,326-d05795a14d183543bd7b7c1f9dfbdbcf-1
Asilulu,mata,"dead; die; lose consciousness; end in a receptacle without markers in the <span class=""wd"">joŋka</span> game (game language)",dead; die; lose consciousness; end in a receptacle without markers in the _joŋka_ game (game language),,18016-fd76fa8a36d06897a38f8113e0ce10cd-1
Javanese,kiyék-kiyék ~ kiyik-kiyik,"to peep, of chicks (<span class=""bib""><a class=""bib"" href=""acd-bib.htm#Pigeaud"">Pigeaud</a></span>)","to peep, of chicks ([Pigeaud](Source#cldf:pigeaud1938))",pigeaud1938,285-7850f8a129562e42845d8f9943a0a3bd-1
Romblomanon,ni,"the action, state, possession <i>of</i> someone; a particular action is performed <i>by</i> a named person (<span class=""wd"">ni</span> is followed by a personal noun)","the action, state, possession _of_ someone; a particular action is performed _by_ a named person (_ni_ is followed by a personal noun)",,19354-72df97b09ae91a2e0c7fbd88370c6774-1
Malay,sagu,"mealy pith, associated usually with ‘sago’, the mealy pith of the sago palm (<span class=""wd"">sagu rumbia</span>), which is of value as a foodstuff, and much consumed in the Archipelago in localities where rice is not grown; in Malaya and Sumatra, where rice is preferred, <span class=""wd"">untong sagu</span> (sago luck) is the lot of the second best, or of a lady’s “second string”","mealy pith, associated usually with ‘sago’, the mealy pith of the sago palm (_sagu rumbia_), which is of value as a foodstuff, and much consumed in the Archipelago in localities where rice is not grown; in Malaya and Sumatra, where rice is preferred, _untong sagu_ (sago luck) is the lot of the second best, or of a lady’s “second string”",,326-689f7b705a86cc50757437f9b1b60df8-1
Tae',ka- -an,"formative for abstract nouns; <span class=""wd"">ka-mate-an</span> ‘time of death’ (cp. <span class=""wd"">mate</span> ‘die, dead’)","formative for abstract nouns; _ka-mate-an_ ‘time of death’ (cp. _mate_ ‘die, dead’)",,18947-d61531349976290e5aa003fa870d13cc-1
Casiguran_Dumagat,pápag,"shelf, high table (in a house for keeping things on); high table (outside, for drying meat on, or for the offering of the <span class=""wd"">atang</span> sacrifice)","shelf, high table (in a house for keeping things on); high table (outside, for drying meat on, or for the offering of the _atang_ sacrifice)",,569-d0085c9e6f3e34dcbf87240de2ec5ced-1
Hanunóo,balúlaŋ,"large checker-woven carrying basket hastily made, usually from fresh <span class=""wd"">buri</span> (palm) leaves, for temporary storage or packing","large checker-woven carrying basket hastily made, usually from fresh _buri_ (palm) leaves, for temporary storage or packing",,273-c71bc490f6a2dbbd15844090283e6867-1
Bontok,s&lt;in&gt;ípit,"a kind of <span class=""wd"">sókop</span> basket about 18 inches high, with rattan binding on lip and base","a kind of _sókop_ basket about 18 inches high, with rattan binding on lip and base",,246-25fb244febfb11f14ed8c41e22498508-1
Cebuano,pugút,"name given to triggerfishes, especially species with very small mouths (as opposed to the <span class=""wd"">pakul</span>, which have larger mouths)","name given to triggerfishes, especially species with very small mouths (as opposed to the _pakul_, which have larger mouths)",,252-78f2b2903b721837eff7de041e1725fa-1
Bimanese,dudu,"blunt, of a blade (cp. <span class=""wd"">dampa</span> 'blunt, of a tip')","blunt, of a blade (cp. _dampa_ 'blunt, of a tip')",,241-2bca8af8e9e716b7ad1d644d9c30e390-1
Toqabaqita,fita-na,"ordinal form of <span class=""wd"">fita</span>: how many times?",ordinal form of _fita_: how many times?,,19197-f36e800149cce28ccc692684f5a221c1-1
Yami,vottoh,"seed, pit (<span class=""bib""><a class=""bib"" href=""acd-bib.htm#Tsuchida"">Tsuchida, Yamada and Moriguchi 1987</a></span>)","seed, pit ([Tsuchida, Yamada and Moriguchi 1987](Source#cldf:tsuchidayamadaandmoriguchi1987))",tsuchidayamadaandmoriguchi1987,1131-10f59a9d5e4bdff23e5b5d71f4e77d02-1
Hanunóo,bukas-búkas,"opening in a <span class=""wd"">kaiŋin</span> fence, or a stile arrangement whereby people may leave and enter a <span class=""wd"">kaiŋin</span>","opening in a _kaiŋin_ fence, or a stile arrangement whereby people may leave and enter a _kaiŋin_",,273-bf98d20d5384e762deb012ec798062a6-1
Pangasinan,-ko,"me, my, by me (attributive pronoun; <span class=""wd"">-k</span> when preceding word ends in a vowel)","me, my, by me (attributive pronoun; _-k_ when preceding word ends in a vowel)",,920-a798dc7e91f2ac8aa80f463ae191abdb-1
Hiligaynon,ka-,"adjective formative affix designating comparative and 	superlative degrees of comparison: <span class=""wd"">ka-tahúm sa ímu</span> ‘How beautiful you are!’ (cp. <span class=""wd"">ma-tahúm</span> ‘beautiful, pretty’)","adjective formative affix designating comparative and superlative degrees of comparison: _ka-tahúm sa ímu_ ‘How beautiful you are!’ (cp. _ma-tahúm_ ‘beautiful, pretty’)",,623-67d329358f4626504b3b179e971621bc-1
Ilokano,káwa,"large kettle for making <span class=""wd"">sinublán</span> (sugarcane juice) or <span class=""wd"">bási</span> (sugarcane wine)",large kettle for making _sinublán_ (sugarcane juice) or _bási_ (sugarcane wine),,279-22f13c7c827e37820102c8ad87bd8b1a-1
Sa'a,na-nama,"to be powerful, to exercise force … Ulawa speaks of ghosts as being <span class=""wd"">na-nama</span> ‘spiritually powerful’","to be powerful, to exercise force … Ulawa speaks of ghosts as being _na-nama_ ‘spiritually powerful’",,18945-de7de25dae7123d45cb0987203bd058a-1
Samoan,fe-,"prefix to word-bases, used either alone or in combination with a suffix...(a) when <span class=""wd"">fe-</span> is used without a suffix it may denote the plural...(b) when used in combination with a suffix...<span class=""wd"">fe-</span> may denote (i) the plural, (ii) a reciprocal process, (iii) an action or process carried out here and there, up and down, hither and thither, all around, quickly, etc.","prefix to word-bases, used either alone or in combination with a suffix...(a) when _fe-_ is used without a suffix it may denote the plural...(b) when used in combination with a suffix..._fe-_ may denote (i) the plural, (ii) a reciprocal process, (iii) an action or process carried out here and there, up and down, hither and thither, all around, quickly, etc.",,401-2804515f8b17cce116b46d062c174f22-1
Samoan,tio,"mollusc (<i>Vermetus</i> sp.), a snail; iridescent (shank), said of a fish-lure made from <span class=""wd"">tio</span> shell","mollusc (_Vermetus_ sp.), a snail; iridescent (shank), said of a fish-lure made from _tio_ shell",,401-f9f7edbc250a8677125ae5e59030676c-1
Wuvulu,ma-,"(fossilized in e.g. <span class=""wd"">maɁau</span> ‘afraid’)",(fossilized in e.g. _maɁau_ ‘afraid’),,445-cd3eeda99fc7c2c1e7a0cb88d03176b1-1
Malay,lekah buŋa,"first blooming of a flower (<span class=""bib""><a class=""bib"" href=""acd-bib.htm#Echols"">Echols and Shadily</a></span>)",first blooming of a flower ([Echols and Shadily](Source#cldf:echolsandshadily1963)),echolsandshadily1963,326-8f774ef4afdb2c2c1159d86a8c0715d4-1
Toba_Batak,"iná-ŋ, inó-ŋ","vocative of <span class=""wd"">ina</span> (mother); at the same time an interjection of pain, astonishment, etc.","vocative of _ina_ (mother); at the same time an interjection of pain, astonishment, etc.",,427-01e35752d3c8cdd3ce8d5eb3a029d4ce-2
Tagalog,súŋkit,"hairpin (<span class=""bib""><a class=""bib"" href=""acd-bib.htm#Laktaw"">Laktaw 1914</a></span>)",hairpin ([Laktaw 1914](Source#cldf:laktaw1914)),laktaw1914,423-a251a9f34fd9dbbf96ca424773186740-1
Malay,caciŋ,"worm, including: <span class=""wd"">caciŋ aŋin ‘Filaria loa’</span>, <span class=""wd"">caciŋ asal</span> ‘intestinal worm, the passing of which in stools is believed to presage death; <span class=""wd"">caciŋ bəsar</span> ‘large white worm passed in stools’, <span class=""wd"">caciŋ gərumit</span> ‘pinworms, nematodes’, etc.","worm, including: _caciŋ aŋin ‘Filaria loa’_, _caciŋ asal_ ‘intestinal worm, the passing of which in stools is believed to presage death; _caciŋ bəsar_ ‘large white worm passed in stools’, _caciŋ gərumit_ ‘pinworms, nematodes’, etc.",,326-a422a4ffde60f1ae8757cf84b8ac608c-1
Anuta,tuk-i,"to strike by extending one’s arm, as in boxing or karate (as opposed to slapping or hitting by bringing the arm down, which is <span class=""wd"">ta</span>); to puncture or drive an object through something; to hammer, strike, or beat something, as in mashing tubers to make a pudding; club","to strike by extending one’s arm, as in boxing or karate (as opposed to slapping or hitting by bringing the arm down, which is _ta_); to puncture or drive an object through something; to hammer, strike, or beat something, as in mashing tubers to make a pudding; club",,229-e368f9dcafe01cef98087f8e853752f4-1
Cebuano,táwu,"man, person; follower; face card; someone left to watch the house; visitor; to stay and watch the house; be born; prepare for guests on special occasions; attend an affair or special occasion; pay a visit (<span class=""wd"">pa-</span>, <span class=""wd"">paka-</span>, <span class=""wd"">hi</span>/<span class=""wd"">ha-</span>, <span class=""wd"">-an</span>, <span class=""wd"">-an-un</span>, <span class=""wd"">pagka-</span>, <span class=""wd"">k-in-a-</span>)","man, person; follower; face card; someone left to watch the house; visitor; to stay and watch the house; be born; prepare for guests on special occasions; attend an affair or special occasion; pay a visit (_pa-_, _paka-_, _hi_/_ha-_, _-an_, _-an-un_, _pagka-_, _k-in-a-_)",,252-6e659c1a23a44713a6f87bf1e6111bfa-1
Ilokano,síŋit,"posts of a granary or house used to support the <span class=""wd"">busóran</span> girders [girders supporting the floor joists]; little fork",posts of a granary or house used to support the _busóran_ girders [girders supporting the floor joists]; little fork,,279-55ef90defb9932ed10a909a26a3d40b0-1
Isneg,ma-núba,"to use <span class=""wd"">tuba</span> (<i>Croton tiglium</i> L.) for stupefying fish",to use _tuba_ (_Croton tiglium_ L.) for stupefying fish,,647-8e96aa8e24061a43a3670e3e6cf2083a-1
Yami,apatot,"small tree or shrub, the <span class=""wd"">noni</span> (<i>Morinda citrifolia</i>)","small tree or shrub, the _noni_ (_Morinda citrifolia_)",,1131-f6142eca3dcd6e98a8bac0d18bf65ca9-1
Iban,buau,"empty (of grain in the ear), inferior (of <span class=""wd"">belian</span> wood)","empty (of grain in the ear), inferior (of _belian_ wood)",,276-e7d329cdbcb77aa773489acc49ae2cbc-1
Balinese,inem,"to drink (<span class=""lg"">High Balinese</span>; = <span class=""wd"">inum</span> in <span class=""lg"">Low Balinese</span>)",to drink ([High Balinese](LanguageTable#cldf:),,235-d2af180c59a9549c50cd1cfc3fb0a86e-1
Ba'amang,kam-anak-an,"sibling’s child, cousin’s child (< <span class=""pwd"">*anak</span> ‘child’)","sibling’s child, cousin’s child (< _*anak_ ‘child’)",,18939-c95b4818d06a18fa96e52f79aa38d9b3-1
Ngaju_Dayak,lampuyaŋ,"a plant resembling the <span class=""wd"">kujang</span> (kind of tuber)",a plant resembling the _kujang_ (kind of tuber),,18577-8080583b09585fdde5376575837c7b68-1
Tagalog,suwi,"plant shoot (<span class=""bib""><a class=""bib"" href=""acd-bib.htm#Laktaw"">Laktaw 1914</a></span>)",plant shoot ([Laktaw 1914](Source#cldf:laktaw1914)),laktaw1914,423-7313abfc11b6a1cf1ea893e7f84244f5-1
Woleaian,fe-,"reciprocal prefix, attached to <span class=""wd"">ŋal</span> 'to' and <span class=""wd"">taŋ</span> 'away from'","reciprocal prefix, attached to _ŋal_ 'to' and _taŋ_ 'away from'",,443-bde08ac24c987dc83a477f7a020b50d5-1
Ngaju_Dayak,kawah,"large iron cooking pot in which one can cook 15-30 <span class=""wd"">gantangs</span> of rice at once",large iron cooking pot in which one can cook 15-30 _gantangs_ of rice at once,,18577-589b739c7efd92ba7eb6c42925bf77f8-1
Cebuano,sagú,"sago starch obtained from palm trunks, especially the sago palm (<span class=""wd"">lumbiya</span>) and the buri palm (<span class=""wd"">buli</span>)","sago starch obtained from palm trunks, especially the sago palm (_lumbiya_) and the buri palm (_buli_)",,252-d407e22df5cc3f01fb5fe3c1188a195d-1
Hanunóo,bukún,"no, not; an emphatic negative similar to but stronger than <span class=""wd"">baláw</span>, most frequently used in statements of denial or contradiction; e.g. <span class=""wd"">bukún</span> 'no! (that's not right)', <span class=""wd"">bukún ʔínda</span> 'not this one'","no, not; an emphatic negative similar to but stronger than _baláw_, most frequently used in statements of denial or contradiction; e.g. _bukún_ 'no! (that's not right)', _bukún ʔínda_ 'not this one'",,273-56e87e8a119a8cc5698ce39295187921-1
Rungus_Dusun,kam-ama-n,"father’s brother, mother’s brother (< <span class=""pwd"">*ama</span> ‘father’)","father’s brother, mother’s brother (< _*ama_ ‘father’)",,971-ce75cfa962ef5a47b4a3738640176e3f-1
Nggela,hina,"to glow, shine; sunlight, in the sun; hot weather, heat of the sun; summer; the sun (rare, usually <span class=""wd"">aho</span>)","to glow, shine; sunlight, in the sun; hot weather, heat of the sun; summer; the sun (rare, usually _aho_)",,359-1e2b9de0c13ba55e36f07b4e2bdf212c-1
Tae',maŋ-antaʔ,"name of an offering to the gods (also called <span class=""wd"">massuraʔ tallaŋ</span> by which a pig is sacrificed at an offering place using bamboo poles with figures carved in them",name of an offering to the gods (also called _massuraʔ tallaŋ_ by which a pig is sacrificed at an offering place using bamboo poles with figures carved in them,,18947-03af12046caa020fc19a61931c1b000d-1
Arosi,nao,"a widow fasting for husband or widower fasting for wife; a widow, in modern translations of the Bible, copying <span class=""lg"">Mota</span> <span class=""wd"">naro</span>","a widow fasting for husband or widower fasting for wife; a widow, in modern translations of the Bible, copying [Mota](LanguageTable#cldf:)",,485-f0da9aff25476fba7b87fe815bfe01a1-1
Seediq,elu,"road,  path (<span class=""bib""><a class=""bib"" href=""acd-bib.htm#Ferrell"">Ferrell 1969</a></span>)","road, path ([Ferrell 1969](Source#cldf:ferrell1969))",ferrell1969,407-dcb4fad6aff33512e0d5eef190245efa-1
Old_Javanese,w-in-uluh,"becoming a <span class=""wd"">wuluh</span>, overflowing with sweetness or compassion, deeply moved; also (as if) pierced by a sharp piece of bamboo","becoming a _wuluh_, overflowing with sweetness or compassion, deeply moved; also (as if) pierced by a sharp piece of bamboo",,660-e2b225a7caa7ecf83b79a2ade004f7bd-1
